N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,base-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_48-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_52-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
16,32,8,2,base-width_56-height_56-cin_12-cout_56-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,conv1/Convolution,560308,510132,57802752,1536,70647808,70647808,57802752,4816896,56198656,51380224,192,65536,16384,32768,16
